CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
C050,P054,2025-03-19,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C070,P078,2024-09-27,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C029,P035,2024-10-13,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C050,P044,2024-07-12,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C093,P022,2025-01-04,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C080,P069,2024-12-08,1,Complete waste of money,-0.4215,Negative,-0.49 to 0.0
C076,P073,2024-11-08,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C083,P055,2024-12-21,2,Some quality issues,0.0,Negative,0.0 to 0.49
C024,P007,2024-05-21,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C028,P059,2024-07-08,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C036,P097,2024-06-21,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C033,P011,2024-10-23,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C070,P007,2025-05-04,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C029,P084,2025-01-28,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C006,P097,2025-02-21,1,Terrible product,-0.4767,Negative,-0.49 to 0.0
C026,P003,2024-07-27,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C017,P061,2025-01-29,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C028,P060,2024-07-14,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C022,P078,2024-05-18,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C092,P015,2024-07-14,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C040,P014,2024-07-09,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C074,P087,2024-12-17,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C051,P092,2024-05-28,3,Average product,0.0,Neutral,0.0 to 0.49
C089,P081,2025-03-01,3,Average product,0.0,Neutral,0.0 to 0.49
C099,P039,2025-01-30,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C016,P073,2024-08-22,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C069,P055,2024-10-01,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C065,P083,2024-06-12,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C063,P014,2024-11-13,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C082,P059,2024-07-23,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C023,P094,2025-03-16,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C035,P079,2024-09-13,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C100,P062,2024-06-21,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C076,P035,2024-12-25,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C012,P036,2024-11-15,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C097,P060,2025-05-02,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
